time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1720044996607730907,405,5502300000000,map,6.26895864135,7.8649128979,0.0,0.0,0.0,-0.155463516679,0.987841634566,0.433871996938,-0.42309089263,0.0,0.0,0.0,0.0,-0.42309089263,0.44537371742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115891545978
1720044996807792183,406,5502500000000,map,6.41738364807,7.82012042048,0.0,0.0,0.0,-0.253842899117,0.967245461384,0.587460871428,-0.591063703755,0.0,0.0,0.0,0.0,-0.591063703755,0.631839710323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137192881319
1720044997250297050,407,5502960000000,map,6.64191095716,7.67070182601,0.0,0.0,0.0,-0.27813010745,0.960543410435,0.66133447904,-0.690389602979,0.0,0.0,0.0,0.0,-0.690389602979,0.759667887895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014558332441
1720044997629981374,408,5503340000000,map,6.79635163097,7.60861134453,0.0,0.0,0.0,-0.173646713652,0.984808011156,0.590568574641,-0.647124820286,0.0,0.0,0.0,0.0,-0.647124820286,0.750155325897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146662961078
1720044997890375828,409,5503600000000,map,6.94735564774,7.58441849281,0.0,0.0,0.0,-0.0713804000104,0.99744916587,0.524838866407,-0.595988807846,0.0,0.0,0.0,0.0,-0.595988807846,0.720337868899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137832655201
1720044998410257528,410,5504120000000,map,7.20919876607,7.55070934679,0.0,0.0,0.0,-0.0505324918038,0.998722417528,0.618666358829,-0.734095359754,0.0,0.0,0.0,0.0,-0.734095359754,0.918500442529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015969027308
1720044998810496209,411,5504520000000,map,7.48168443627,7.49448626883,0.0,0.0,0.0,-0.0273798994593,0.999625100278,0.727892568695,-0.889937605012,0.0,0.0,0.0,0.0,-0.889937605012,1.13447435374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177465646905
1720044999090166785,412,5504800000000,map,7.7443085154,7.43909885325,0.0,0.0,0.0,-0.03767796287,0.99928993346,0.879051998453,-1.08756509917,0.0,0.0,0.0,0.0,-1.08756509917,1.3941066356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180411236765
1720044999392225342,413,5505080000000,map,8.01460372748,7.37635011974,0.0,0.0,0.0,-0.0929895789336,0.995667082016,0.954756046405,-1.2013168545,0.0,0.0,0.0,0.0,-1.2013168545,1.56161228855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0180898241974
1720044999544136251,414,5505240000000,map,8.13788602886,7.28843252414,0.0,0.0,0.0,-0.201181036912,0.979554077316,1.03195311145,-1.29412233684,0.0,0.0,0.0,0.0,-1.29412233684,1.66553269293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167085854131
